t,ground_station,satellite,distance
0,redmond,24,2568
1,redmond,24,2568
2,redmond,24,2568
3,redmond,24,2568
4,redmond,24,2568
5,redmond,24,2568
6,redmond,24,2568
7,redmond,24,2568
8,redmond,24,2568
9,redmond,24,2568
10,redmond,24,2568
11,redmond,24,2568
12,redmond,24,2568
13,redmond,24,2568
14,redmond,24,2568
15,redmond,24,2568
16,redmond,24,2568
17,redmond,24,2568
18,redmond,24,2568
19,redmond,24,2568
20,redmond,24,2568
21,redmond,24,2568
22,redmond,24,2568
23,redmond,24,2568
24,redmond,24,2568
25,redmond,24,2568
26,redmond,24,2568
27,redmond,24,2568
28,redmond,24,2568
29,redmond,24,2568
30,redmond,24,2568
31,redmond,24,2568
32,redmond,24,2568
33,redmond,24,2568
34,redmond,24,2568
35,redmond,24,2568
36,redmond,24,2568
37,redmond,2,2268
38,redmond,2,2268
39,redmond,2,2268
40,redmond,2,2268
41,redmond,2,2268
42,redmond,2,2268
43,redmond,2,2268
44,redmond,2,2268
45,redmond,2,2268
46,redmond,2,2268
47,redmond,2,2268
48,redmond,2,2268
49,redmond,2,2268
50,redmond,2,2268
51,redmond,2,2268
52,redmond,2,2268
53,redmond,2,2268
54,redmond,2,2268
55,redmond,2,2268
56,redmond,2,2268
57,redmond,2,2268
58,redmond,2,2268
59,redmond,2,2268
60,redmond,2,2268
61,redmond,2,2268
62,redmond,2,2268
63,redmond,2,2268
64,redmond,2,2268
65,redmond,2,2268
66,redmond,2,2268
67,redmond,2,2268
68,redmond,2,2268
69,redmond,2,2268
70,redmond,2,2268
71,redmond,2,2268
72,redmond,2,2268
73,redmond,2,2268
74,redmond,2,2268
75,redmond,2,2268
76,redmond,2,2268
77,redmond,2,2268
78,redmond,2,2268
79,redmond,2,2268
80,redmond,2,2268
81,redmond,2,2268
82,redmond,2,2268
83,redmond,2,2268
84,redmond,2,2268
85,redmond,2,2268
86,redmond,2,2268
87,redmond,2,2268
88,redmond,2,2268
89,redmond,2,2268
90,redmond,2,2268
91,redmond,2,2268
92,redmond,2,2268
93,redmond,2,2268
94,redmond,2,2268
95,redmond,2,2268
96,redmond,2,2268
97,redmond,2,2268
98,redmond,2,2268
99,redmond,2,2268
100,redmond,2,2268
101,redmond,2,2268
102,redmond,2,2268
103,redmond,2,2268
104,redmond,2,2268
105,redmond,2,2268
106,redmond,2,2268
107,redmond,2,2268
108,redmond,2,2268
109,redmond,2,2268
110,redmond,2,2268
111,redmond,2,2268
112,redmond,2,2268
113,redmond,2,2268
114,redmond,2,2268
115,redmond,2,2268
116,redmond,2,2268
117,redmond,2,2268
118,redmond,2,2268
119,redmond,2,2268
120,redmond,2,2268
121,redmond,2,2268
122,redmond,2,2268
123,redmond,2,2268
124,redmond,2,2268
125,redmond,2,2268
126,redmond,2,2268
127,redmond,2,2268
128,redmond,2,2268
129,redmond,2,2268
130,redmond,2,2268
131,redmond,2,2268
132,redmond,2,2268
133,redmond,2,2268
134,redmond,2,2268
135,redmond,2,2268
136,redmond,2,2268
137,redmond,2,2268
138,redmond,2,2268
139,redmond,2,2268
140,redmond,2,2268
141,redmond,2,2268
142,redmond,2,2268
143,redmond,2,2268
144,redmond,2,2268
145,redmond,2,2268
146,redmond,2,2268
147,redmond,2,2268
148,redmond,2,2268
149,redmond,2,2268
150,redmond,2,2268
151,redmond,2,2268
152,redmond,2,2268
153,redmond,2,2268
154,redmond,2,2268
155,redmond,2,2268
156,redmond,2,2268
157,redmond,2,2268
158,redmond,2,2268
159,redmond,2,2268
160,redmond,2,2268
161,redmond,2,2268
162,redmond,2,2268
163,redmond,2,2268
164,redmond,2,2770
165,redmond,2,2770
166,redmond,2,2770
167,redmond,2,2770
168,redmond,2,2770
169,redmond,2,2770
170,redmond,2,2770
171,redmond,2,2770
172,redmond,2,2770
173,redmond,2,2770
174,redmond,2,2770
175,redmond,2,2770
176,redmond,2,2770
177,redmond,2,2770
178,redmond,2,2770
179,redmond,2,2770
180,redmond,2,2770
181,redmond,2,2770
182,redmond,2,2770
183,redmond,2,2770
184,redmond,2,2770
185,redmond,2,2770
186,redmond,2,2770
187,redmond,2,2770
188,redmond,2,2770
189,redmond,2,2770
190,redmond,2,2770
191,redmond,2,2770
192,redmond,2,2770
193,redmond,2,3274
194,redmond,2,3274
195,redmond,2,3274
196,redmond,2,3274
197,redmond,2,3274
198,redmond,2,3274
199,redmond,2,3274
200,redmond,2,3274
201,redmond,45,3229
202,redmond,45,3229
203,redmond,45,3229
204,redmond,45,3229
205,redmond,45,3229
206,redmond,45,3229
207,redmond,45,3229
208,redmond,45,3229
209,redmond,45,3229
210,redmond,45,3229
211,redmond,45,3229
212,redmond,45,3229
213,redmond,45,3229
214,redmond,45,3229
215,redmond,45,3229
216,redmond,45,3229
217,redmond,45,3229
218,redmond,45,3229
219,redmond,45,3229
220,redmond,45,3229
221,redmond,45,3229
222,redmond,45,3229
223,redmond,45,3229
224,redmond,45,3229
225,redmond,45,3229
226,redmond,45,3229
227,redmond,45,3229
228,redmond,45,3229
229,redmond,45,3229
230,redmond,45,3229
231,redmond,45,3229
232,redmond,45,3229
233,redmond,45,3229
234,redmond,45,3229
235,redmond,45,3229
236,redmond,45,3229
237,redmond,45,3229
238,redmond,45,3229
239,redmond,45,3229
240,redmond,45,3229
241,redmond,45,3229
242,redmond,45,3229
243,redmond,45,3229
244,redmond,45,3229
245,redmond,45,3229
246,redmond,23,2724
247,redmond,23,2724
248,redmond,23,2724
249,redmond,23,2724
250,redmond,23,2724
251,redmond,23,2724
252,redmond,23,2724
253,redmond,23,2724
254,redmond,23,2724
255,redmond,23,2724
256,redmond,23,2724
257,redmond,23,2724
258,redmond,23,2724
259,redmond,23,2724
260,redmond,23,2724
261,redmond,23,2724
262,redmond,23,2724
263,redmond,23,2724
264,redmond,23,2724
265,redmond,23,2724
266,redmond,23,2724
267,redmond,23,2724
268,redmond,23,2724
269,redmond,23,2724
270,redmond,23,2724
271,redmond,23,2724
272,redmond,1,2723
273,redmond,1,2723
274,redmond,1,2723
275,redmond,1,2723
276,redmond,1,2723
277,redmond,1,2723
278,redmond,1,2723
279,redmond,1,2723
280,redmond,1,2723
281,redmond,1,2723
282,redmond,1,2723
283,redmond,1,2723
284,redmond,1,2723
285,redmond,1,2723
286,redmond,1,2723
287,redmond,1,2723
288,redmond,1,2723
289,redmond,1,2723
290,redmond,1,2723
291,redmond,1,2723
292,redmond,1,2723
293,redmond,1,2723
294,redmond,1,2723
295,redmond,1,2723
296,redmond,1,2723
297,redmond,1,2723
298,redmond,1,2723
299,redmond,1,2723
300,redmond,1,2723
301,redmond,1,2723
302,redmond,1,2723
303,redmond,1,2723
304,redmond,1,2723
305,redmond,1,2723
306,redmond,1,2723
307,redmond,1,2723
308,redmond,1,2216
309,redmond,1,2216
310,redmond,1,2216
311,redmond,1,2216
312,redmond,1,2216
313,redmond,1,2216
314,redmond,1,2216
315,redmond,1,2216
316,redmond,1,2216
317,redmond,1,2216
318,redmond,1,2216
319,redmond,1,2216
320,redmond,1,2216
321,redmond,1,2216
322,redmond,1,2216
323,redmond,1,2216
324,redmond,1,2216
325,redmond,1,2216
326,redmond,1,2216
327,redmond,1,2216
328,redmond,1,2216
329,redmond,1,2216
330,redmond,1,2216
331,redmond,1,2216
332,redmond,1,2216
333,redmond,1,2216
334,redmond,1,2216
335,redmond,1,2216
336,redmond,1,2216
337,redmond,1,2216
338,redmond,1,2216
339,redmond,1,2216
340,redmond,1,2216
341,redmond,1,2216
342,redmond,1,2216
343,redmond,1,2216
344,redmond,1,2216
345,redmond,1,2216
346,redmond,1,2216
347,redmond,1,2216
348,redmond,1,2216
349,redmond,1,2216
350,redmond,1,2216
351,redmond,1,2216
352,redmond,1,2216
353,redmond,1,2216
354,redmond,1,2216
355,redmond,1,2216
356,redmond,1,2216
357,redmond,1,2216
358,redmond,1,2216
359,redmond,1,2216
360,redmond,1,2216
361,redmond,1,2216
362,redmond,1,2216
363,redmond,1,2216
364,redmond,1,2216
365,redmond,1,2216
366,redmond,1,2216
367,redmond,1,2216
368,redmond,1,2216
369,redmond,1,2216
370,redmond,1,2216
371,redmond,1,2216
372,redmond,1,2216
373,redmond,1,2216
374,redmond,1,2216
375,redmond,1,2216
376,redmond,1,2216
377,redmond,1,2216
378,redmond,1,2216
379,redmond,1,2216
380,redmond,1,2216
381,redmond,1,2216
382,redmond,1,2216
383,redmond,1,2216
384,redmond,1,2216
385,redmond,1,2216
386,redmond,1,2216
387,redmond,1,2216
388,redmond,1,2216
389,redmond,1,2216
390,redmond,1,2216
391,redmond,1,2216
392,redmond,1,2216
393,redmond,1,2216
394,redmond,1,2216
395,redmond,1,2216
396,redmond,1,2216
397,redmond,1,2216
398,redmond,1,2216
399,redmond,1,2216
400,redmond,1,2216
401,redmond,1,2216
402,redmond,1,2216
403,redmond,1,2216
404,redmond,1,2216
405,redmond,1,2216
406,redmond,1,2216
407,redmond,1,2216
408,redmond,1,2216
409,redmond,1,2216
410,redmond,1,2216
411,redmond,1,2216
412,redmond,1,2216
413,redmond,1,2216
414,redmond,1,2216
415,redmond,1,2216
416,redmond,1,2216
417,redmond,1,2216
418,redmond,1,2216
419,redmond,1,2216
420,redmond,1,2216
421,redmond,1,2216
422,redmond,1,2216
423,redmond,1,2216
424,redmond,1,2216
425,redmond,1,2216
426,redmond,1,2216
427,redmond,1,2216
428,redmond,1,2216
429,redmond,1,2216
430,redmond,1,2216
431,redmond,1,2216
432,redmond,1,2216
433,redmond,1,2216
